"Title","ChordProgression","Key","RomanNumeralProgression"
"9.20 Special","D9|Fm6|D9|Fm6|C|C7,B7,Bb7,A7|D9|G7,C6","C","II9|IVm6|II9|IVm6|I|I7,VII7,#VI/♭VII7,VI7|II9|V7,I6"
"26-2","Fmaj7,Ab7|Dbmaj7,E7|Amaj7,C7|Cm7,F7|Bbmaj7,Db7|Gbmaj7,A7|Dm7,G7|Gm7,C7","F","Imaj7,#II/♭III7|#V/♭VImaj7,VII7|IIImaj7,V7|Vm7,I7|IVmaj7,#V/♭VI7|#I/♭IImaj7,III7|VIm7,II7|IIm7,V7"
"52nd Street Theme","C,Am7|Dm7,G7|C,Am7|Dm7,G7|C,Am7|Dm7,G7|C,G7|C","C","I,VIm7|IIm7,V7|I,VIm7|IIm7,V7|I,VIm7|IIm7,V7|I,V7|I"
"A Beautiful Friendship","Cmaj7|Gb7#11|Fmaj7|Em7b5,A7b9|Am7|D7|Dm7|G7","C","Imaj7|#IV/♭V7#11|IVmaj7|IIIm7b5,VI7b9|VIm7|II7|IIm7|V7"
"A Blossom Fell","Bb6,B0|Cm7|F7,F7#5|Bb6|Bbmaj7/D,Db0|Cm7,F7|Cm7,F7|Bb6,B0,F7/C,F7","Bb","I6,#I/♭II0|IIm7|V7,V7#5|I6|Imaj7/III,#II/♭III0|IIm7,V7|IIm7,V7|I6,#I/♭II0,V7/II,V7"
"A Certain Smile","Gm7|C7|F6|Dm7|Gm7|C7|Fmaj7|Fmaj7","F","IIm7|V7|I6|VIm7|IIm7|V7|Imaj7|Imaj7"
"A Felicidade","Cmaj7(Am7)|Cmaj7(Am7)|Cmaj7|Cmaj7|Em7|B7b9|Em7,A7|Dm7,G7","C","Imaj7(VIm7)|Imaj7(VIm7)|Imaj7|Imaj7|IIIm7|VII7b9|IIIm7,VI7|IIm7,V7"
"A Fine Romance","C6|C#07|Dm6|D#07|Em7|Am7|Dm7|G7","C","I6|#I/♭II07|IIm6|#II/♭III07|IIIm7|VIm7|IIm7|V7"
"A Flower Is A Lovesome Thing","B7#11|B7#11|B7#11|B7#11|Bb7b13,Eb7|Ab7b13,Db7|Dmaj7(F#m7),Eb7,D|Db6","E","V7#11|V7#11|V7#11|V7#11|#IV/♭V7b13,VII7|III7b13,VI7|#VI/♭VIImaj7(IIm7),VII7,#VI/♭VII|VI6"
"A Foggy Day","Fmaj7|D7b9|Gm7|C7|F6|Ab7|G7|C7","F","Imaj7|VI7b9|IIm7|V7|I6|#II/♭III7|II7|V7"
"A Ghost Of A Chance","Dm7|G7#5|Cmaj7,G7|Cmaj7,Am7|F#m7b5|B7b9|Em7,A7|Dm7,G7#5","C","IIm7|V7#5|Imaj7,V7|Imaj7,VIm7|#IV/♭Vm7b5|VII7b9|IIIm7,VI7|IIm7,V7#5"
"A Kiss To Build A Dream On","Cmaj7,Dm7|Em7,Eb07|Dm7,A7b9|Dm7,G7|Dm7,A7b9|Dm7,G7|C6,Am7|Dm7,G7","C","Imaj7,IIm7|IIIm7,#II/♭III07|IIm7,VI7b9|IIm7,V7|IIm7,VI7b9|IIm7,V7|I6,VIm7|IIm7,V7"
"A Lovely Way To Spend An Evening","Bbmaj7|Gm7,C7|Am7|Dm7|Gm7|C7|Fmaj7|Cm7,F7","F","IVmaj7|IIm7,V7|IIIm7|VIm7|IIm7|V7|Imaj7|Vm7,I7"
"A Night In Tunisia","Eb7|Dm6|Eb7|Dm6|Eb7|Dm6|Em7b5,A7b9|Dm","D-","#I/♭II7|Im6|#I/♭II7|Im6|#I/♭II7|Im6|IIm7b5,V7b9|Im"
"A Nightingale Sang In Berkeley Square","Ebmaj7,Cm7|Gm7,Bbm7,Eb7|Abmaj7,Dm7b5,G7|Cm,Abm6|Ebmaj7/Bb,Fm7|Ebmaj7/G,,Abm7,Db7|Ebmaj7,Cm7|Fm7,Bb7","Eb","Imaj7,VIm7|IIIm7,Vm7,I7|IVmaj7,VIIm7b5,III7|VIm,IVm6|Imaj7/V,IIm7|Imaj7/III,NANA,IVm7,#VI/♭VII7|Imaj7,VIm7|IIm7,V7"
"A Sleepin' Bee","Abmaj7,Eb7sus|Abmaj7,Eb7sus|Abmaj7,D7|Dbmaj7,Gb7sus|Abmaj7,Db7|C7,F7|Bbm7,E7|Eb7,Db7","Ab","Imaj7,V7sus|Imaj7,V7sus|Imaj7,#IV/♭V7|IVmaj7,#VI/♭VII7sus|Imaj7,IV7|III7,VI7|IIm7,#V/♭VI7|V7,IV7"
"A Smooth One","B07,Bb6|F6/A,F6|B07,Bb6|F6/A,F6|B07,Bb6|F6/A,F6|G7,C7|F6","F","#IV/♭V07,IV6|I6/III,I6|#IV/♭V07,IV6|I6/III,I6|#IV/♭V07,IV6|I6/III,I6|II7,V7|I6"
"A Sound For Sore Ears","Bb7sus|Bb7sus|Bb7sus|Bb7sus|Bb7sus|Bb7sus|Bb7sus|Bb7sus","Eb","V7sus|V7sus|V7sus|V7sus|V7sus|V7sus|V7sus|V7sus"
"A Sunday Kind Of Love","Fmaj7,F#07|Gm7,C7|Fmaj7,Cm7,F7,|Bbmaj7,Bbm7|Fmaj7,D7|Gm7,C7|F6,Eb7|F6","F","Imaj7,#I/♭II07|IIm7,V7|Imaj7,Vm7,I7,NANA|IVmaj7,IVm7|Imaj7,VI7|IIm7,V7|I6,#VI/♭VII7|I6"
"A Time For Love","Fmaj7|Eb7/F|F6|G7|Gm7|Gm7/F|Em7,A7|Em7b5/A,A7b9","C","IVmaj7|#II/♭III7/IV|IV6|V7|Vm7|Vm7/IV|IIIm7,VI7|IIIm7b5/VI,VI7b9"
"A Tisket A Tasket","Ebmaj7|Ebmaj7|Ebmaj7,Abmaj7|Gm7,C7|Fm7|Bb7|Fm7,Bb7|Ebmaj7","Ab","Vmaj7|Vmaj7|Vmaj7,Imaj7|VIIm7,III7|VIm7|II7|VIm7,II7|Vmaj7"
"A Weaver Of Dreams","Cmaj7|Cmaj7|Bm7b5|E7b9|Am7|Am7|Gm7|C7","C","Imaj7|Imaj7|VIIm7b5|III7b9|VIm7|VIm7|Vm7|I7"
"Ablution","Fm7|Bbm7|Eb7|Abmaj7|Dbmaj7|G7|Cmaj7|Cmaj7","Ab","VIm7|IIm7|V7|Imaj7|IVmaj7|VII7|IIImaj7|IIImaj7"
"Ac-Cent-Tchu-Ate The Positive","F,Faug|F6,Fmaj7|Gm7|C7|F,Faug|F6,Fmaj7|Gm7,C7|F6,C7","F","I,Iaug|I6,Imaj7|IIm7|V7|I,Iaug|I6,Imaj7|IIm7,V7|I6,V7"
"Across The Alley From The Alamo","Fmaj7|Fmaj7|Fmaj7|Fmaj7|C7|C7|Gm7,C7|Fmaj7","F","Imaj7|Imaj7|Imaj7|Imaj7|V7|V7|IIm7,V7|Imaj7"
"African Queen, The","Cm9,Db9|Cm9,Db9|Cm9,Db9|Cm9,Db9|Cm9,Db9|Cm9,Db9|Cm9,Db9|Cm9,Db9","C-","Im9,#I/♭II9|Im9,#I/♭II9|Im9,#I/♭II9|Im9,#I/♭II9|Im9,#I/♭II9|Im9,#I/♭II9|Im9,#I/♭II9|Im9,#I/♭II9"
"After You've Gone","Ebmaj7|Ebmaj7|Ebm6|Ab7|Bbmaj7|Bbmaj7|Dm7|G7","C-","#II/♭IIImaj7|#II/♭IIImaj7|#II/♭IIIm6|#V/♭VI7|#VI/♭VIImaj7|#VI/♭VIImaj7|IIm7|V7"
"Afternoon In Paris","Cmaj7|Cm7,F7|Bbmaj7|Bbm7,Eb7|Abmaj7|Dm7,G7#9|Cmaj7|Dm7,G7","C-","Imaj7|Im7,IV7|#VI/♭VIImaj7|#VI/♭VIIm7,#II/♭III7|#V/♭VImaj7|IIm7,V7#9|Imaj7|IIm7,V7"
"Again","Gmaj7,Em7|Am7,D7|Bm7,E7|Am7,D7|Bm7,E7b9|Am7b5,D7b9|B7#5,E7b9|Am7,D7",NA,""
"Ain't Misbehavin'","C6,A7|Dm7,G7|C6,C7/E|F6,Fm6|C6/E,A7|Dm7,G7|C6,Am7|Dm7,G7","C","I6,VI7|IIm7,V7|I6,I7/III|IV6,IVm6|I6/III,VI7|IIm7,V7|I6,VIm7|IIm7,V7"
"Ain't She Sweet","Eb6,E07|Fm7,B7|Eb6,E07|Fm7,Bb7|Eb6,G7|C7|F7,Bb7|Eb6","Eb","I6,#I/♭II07|IIm7,#V/♭VI7|I6,#I/♭II07|IIm7,V7|I6,III7|VI7|II7,V7|I6"
"Airegin","Fm|C7b5#9|Fm|F7|Bbm|F7b5#9|Bbm|Bbm","F-","Im|V7b5#9|Im|I7|IVm|I7b5#9|IVm|IVm"
"Airmail Special","C6,Am7|Dm7,G7|Em7,A7|Dm7,G7|C,C7/E|F,F#07|C/G|C","C","I6,VIm7|IIm7,V7|IIIm7,VI7|IIm7,V7|I,I7/III|IV,#IV/♭V07|I/V|I"
"Aisha","Am9|Gm9|Am9|Fm9|Fm7,Bb7|Gm7,C7|Am7,D7b9|G7,C7,Fm,E7","A-","Im9|#VI/♭VIIm9|Im9|#V/♭VIm9|#V/♭VIm7,#I/♭II7|#VI/♭VIIm7,#II/♭III7|Im7,IV7b9|#VI/♭VII7,#II/♭III7,#V/♭VIm,V7"
"Alexander's Ragtime Band","F6|F6|G7,C7|F6|Bb6|Bb6|Bb6|Bb6","F","I6|I6|II7,V7|I6|IV6|IV6|IV6|IV6"
"Alfie","Bbmaj7|F7sus|Bbmaj7|Dm7,G7|Cm7|Dm7,Gm7|Cm7,F7sus|Bb07","Bb","Imaj7|V7sus|Imaj7|IIIm7,VI7|IIm7|IIIm7,VIm7|IIm7,V7sus|I07"
