"Title","ChordProgression"
"9.20 Special","D9|Fm6|D9|Fm6|C|C7,B7,Bb7,A7|D9|G7,C6"
"26-2","Fmaj7,Ab7|Dbmaj7,E7|Amaj7,C7|Cm7,F7|Bbmaj7,Db7|Gbmaj7,A7|Dm7,G7|Gm7,C7"
"26-2","Fmaj7,Ab7|Dbmaj7,E7|Amaj7,C7|Cm7,F7|Bbmaj7,Ab7|Dbmaj7,E7|Amaj7,C7|Fmaj7"
"26-2","Fmaj7,Ab7|Dbmaj7,E7|Amaj7,C7|Cm7,F7|Bbmaj7,Ab7|Dbmaj7,E7|Amaj7,C7|Fmaj7"
"52nd Street Theme","C,Am7|Dm7,G7|C,Am7|Dm7,G7|C,Am7|Dm7,G7|C,G7|C"
"52nd Street Theme","C,Am7|Dm7,G7|C,Am7|Dm7,G7|C,Am7|Dm7,G7|C,G7|C"
"A Beautiful Friendship","Cmaj7|Gb7#11|Fmaj7|Em7b5,A7b9|Am7|D7|Dm7|G7"
"A Beautiful Friendship","Cmaj7|Gb7#11|Fmaj7|Em7b5,A7b9|Dm7|G7|C6,A7|D7,G7"
"A Blossom Fell","Bb6,B0|Cm7|F7,F7#5|Bb6|Bbmaj7/D,Db0|Cm7,F7|Cm7,F7|Bb6,B0,F7/C,F7"
"A Certain Smile","Gm7|C7|F6|Dm7|Gm7|C7|Fmaj7|Fmaj7"
"A Certain Smile","Gm7|C7|F6|Dm7|Gm7|C7|Fmaj7|Cm7,F7"
"A Felicidade","Cmaj7(Am7)|Cmaj7(Am7)|Cmaj7|Cmaj7|Em7|B7b9|Em7,A7|Dm7,G7"
"A Fine Romance","C6|C#07|Dm6|D#07|Em7|Am7|Dm7|G7"
"A Fine Romance","C6|C#07|Dm6|D#07|Em7|Am7|Dm7|G7"
"A Flower Is A Lovesome Thing","B7#11|B7#11|B7#11|B7#11|Bb7b13,Eb7|Ab7b13,Db7|Dmaj7(F#m7),,Eb7,D|Db6"
